question,Response,overall,Age_18_34,Age_35_64,Age_65_over,white_yes,white_no,Children_yes,children_no,straight_yes,straight_no
"Have sexual relations with women, including anything from kissing to sex","Never, but open to it",0.1,0.19,0.06,0.09,0.09,0.13,0.07,0.15,0.08,0.25
"Have sexual relations with women, including anything from kissing to sex","Never, and not open to it",0.11,0.16,0.1,0.09,0.11,0.13,0.07,0.17,0.06,0.47
"Have sexual relations with women, including anything from kissing to sex",No answer,0.02,0,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.02
"Have sexual relations with men, including anything from kissing to sex",Often,0.05,0.1,0.04,0.01,0.04,0.08,0.01,0.09,0,0.41
"Have sexual relations with men, including anything from kissing to sex",Sometimes,0.04,0.06,0.04,0.02,0.03,0.07,0.02,0.07,0.02,0.21
"Have sexual relations with men, including anything from kissing to sex",Rarely,0.03,0.06,0.02,0.01,0.04,0.02,0.01,0.06,0.02,0.18
"Have sexual relations with men, including anything from kissing to sex","Never, but open to it",0.06,0.12,0.03,0.06,0.05,0.08,0.04,0.09,0.03,0.17
"Have sexual relations with men, including anything from kissing to sex","Never, and not open to it",0.8,0.65,0.86,0.86,0.83,0.74,0.91,0.68,0.92,0.02
"Have sexual relations with men, including anything from kissing to sex",No answer,0.01,0,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01
Watch sports of any kind,Often,0.38,0.29,0.41,0.44,0.38,0.38,0.44,0.32,0.42,0.19
Watch sports of any kind,Sometimes,0.25,0.19,0.28,0.28,0.25,0.24,0.26,0.23,0.28,0.1
Watch sports of any kind,Rarely,0.18,0.24,0.16,0.15,0.18,0.18,0.14,0.22,0.14,0.41
Watch sports of any kind,"Never, but open to it",0.05,0.07,0.04,0.06,0.06,0.05,0.06,0.05,0.05,0.07
Watch sports of any kind,"Never, and not open to it",0.13,0.2,0.11,0.07,0.12,0.14,0.09,0.17,0.1,0.23
Watch sports of any kind,No answer,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01,0
Work out,Often,0.21,0.3,0.16,0.2,0.19,0.25,0.17,0.26,0.21,0.24
Work out,Sometimes,0.32,0.31,0.36,0.24,0.31,0.36,0.34,0.3,0.34,0.23
Work out,Rarely,0.28,0.25,0.28,0.29,0.28,0.26,0.29,0.26,0.27,0.33
Work out,"Never, but open to it",0.1,0.07,0.12,0.09,0.12,0.06,0.11,0.09,0.09,0.1
Work out,"Never, and not open to it",0.07,0.07,0.05,0.13,0.08,0.05,0.07,0.07,0.06,0.08
Work out,No answer,0.02,0,0.02,0.06,0.02,0.02,0.03,0.01,0.02,0.01
See a therapist,Often,0.05,0.09,0.04,0.01,0.04,0.05,0.04,0.06,0.04,0.12
See a therapist,Sometimes,0.09,0.1,0.09,0.08,0.09,0.09,0.08,0.1,0.08,0.09
See a therapist,Rarely,0.15,0.11,0.17,0.14,0.15,0.14,0.17,0.13,0.15,0.22
See a therapist,"Never, but open to it",0.37,0.35,0.39,0.35,0.38,0.34,0.38,0.35,0.38,0.36
See a therapist,"Never, and not open to it",0.32,0.36,0.28,0.38,0.31,0.34,0.31,0.34,0.33,0.22
See a therapist,No answer,0.02,0,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0
Feel lonely or isolated,Often,0.17,0.24,0.17,0.07,0.17,0.18,0.11,0.24,0.14,0.32
Feel lonely or isolated,Sometimes,0.29,0.32,0.31,0.2,0.28,0.33,0.28,0.31,0.3,0.3
Feel lonely or isolated,Rarely,0.31,0.26,0.3,0.43,0.36,0.21,0.35,0.27,0.32,0.28
Feel lonely or isolated,"Never, but open to it",0.05,0.03,0.06,0.06,0.04,0.07,0.06,0.04,0.05,0.03
Feel lonely or isolated,"Never, and not open to it",0.15,0.15,0.14,0.21,0.14,0.18,0.17,0.13,0.17,0.05
Feel lonely or isolated,No answer,0.02,0,0.03,0.02,0.01,0.03,0.03,0.01,0.02,0.02
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your weight,0.54,0.45,0.59,0.53,0.53,0.56,0.54,0.55,0.54,0.64
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),"Your finances, including your current or future income, assets, or debt",0.53,0.53,0.6,0.34,0.54,0.51,0.52,0.55,0.51,0.74
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your physical health,0.49,0.42,0.52,0.54,0.53,0.43,0.49,0.5,0.5,0.52
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your physique,0.33,0.4,0.34,0.23,0.35,0.31,0.28,0.4,0.31,0.58
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),"Your ability to provide for your family, current or anticipated",0.32,0.33,0.39,0.13,0.31,0.35,0.38,0.26,0.34,0.25
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your mental health,0.32,0.45,0.3,0.17,0.33,0.3,0.25,0.4,0.31,0.42
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Sexual performance or amount of sex,0.23,0.24,0.26,0.16,0.23,0.25,0.24,0.23,0.21,0.35
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your hair or hairline,0.19,0.33,0.16,0.07,0.17,0.23,0.13,0.26,0.18,0.24
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your clothing or style,0.18,0.31,0.15,0.09,0.15,0.26,0.12,0.26,0.16,0.4
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Appearance of your genitalia,0.13,0.17,0.13,0.06,0.13,0.12,0.1,0.16,0.11,0.23
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),Your height,0.06,0.12,0.04,0.01,0.04,0.1,0.04,0.09,0.05,0.12
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.),None of the above,0.13,0.1,0.12,0.19,0.14,0.1,0.13,0.12,0.13,0.09
Which of the following categories best describes your employment status?,"Employed, working full-time",0.48,0.4,0.64,0.17,0.45,0.54,0.56,0.39,0.51,0.37
Which of the following categories best describes your employment status?,"Employed, working part-time",0.1,0.14,0.08,0.09,0.1,0.1,0.05,0.14,0.1,0.11
Which of the following categories best describes your employment status?,"Not employed, student",0.06,0.18,0.01,0,0.05,0.09,0.01,0.11,0.04,0.18
Which of the following categories best describes your employment status?,Not employed-retired,0.19,0.04,0.11,0.65,0.24,0.09,0.25,0.12,0.2,0.11
Which of the following categories best describes your employment status?,"Not employed, looking for work",0.09,0.19,0.07,0.01,0.07,0.13,0.07,0.12,0.09,0.13
Which of the following categories best describes your employment status?,"Not employed, NOT looking for work",0.08,0.05,0.09,0.08,0.09,0.05,0.05,0.1,0.07,0.1
Which of the following categories best describes your employment status?,No answer,0,0,0,0,0,0,0,0,0,0
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Men are taken more seriously,0.23,,0.16,0.27,0.2,0.27,0.2,0.27,0.21,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Men make more money,0.18,,0.15,0.19,0.16,0.22,0.15,0.22,0.17,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Men have more choice,0.16,,0.12,0.21,0.13,0.2,0.14,0.18,0.15,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Men have more promotion/professional development opportunities,0.14,,0.11,0.19,0.16,0.11,0.13,0.17,0.13,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Men generally have more support from their managers,0.11,,0.08,0.18,0.1,0.12,0.1,0.12,0.1,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Men are explicitly praised more often,0.08,,0.05,0.06,0.08,0.07,0.05,0.11,0.07,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,Other (please specify),0.07,,0.07,0.07,0.1,0.01,0.08,0.05,0.07,
AMONG EMPLOYED: In which of the following ways would you say is an advantage to be a man at your work right now? (Select all that apply).,None of the above,0.59,,0.68,0.5,0.61,0.57,0.63,0.55,0.61,
AMONG EMPLOYED: In which of the following ways would you say is a disadvantage to be a man at your work right now? (Select all that apply).,Managers want to hire and promote women,0.18,,0.15,0.18,0.17,0.21,0.2,0.17,0.19,
AMONG EMPLOYED: In which of the following ways would you say is a disadvantage to be a man at your work right now? (Select all that apply).,Greater risk of being accused of sexual harassment,0.42,,0.43,0.43,0.43,0.41,0.44,0.4,0.43,
AMONG EMPLOYED: In which of the following ways would you say is a disadvantage to be a man at your work right now? (Select all that apply).,Greater risk of being accused of being sexist or racist,0.38,,0.4,0.33,0.4,0.35,0.37,0.38,0.37,
AMONG EMPLOYED: In which of the following ways would you say is a disadvantage to be a man at your work right now? (Select all that apply).,Other (please specify),0.05,,0.06,0.04,0.06,0.03,0.04,0.06,0.05,
AMONG EMPLOYED: In which of the following ways would you say is a disadvantage to be a man at your work right now? (Select all that apply).,None of the above,0.42,,0.43,0.45,0.43,0.41,0.43,0.42,0.43,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Contacted the HR department,0.08,,0.07,0.1,0.07,0.11,0.09,0.07,0.08,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Did not respond at all,0.08,,0.07,0.01,0.05,0.14,0.05,0.12,0.07,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Reached out to the victim to offer support,0.07,,0.07,0.09,0.09,0.05,0.09,0.06,0.07,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Contacted the manager of the accused person,0.07,,0.05,0.04,0.06,0.07,0.06,0.07,0.07,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Confronted the accused person,0.05,,0.05,0.05,0.04,0.05,0.06,0.03,0.05,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Other (please specify),0.03,,0.04,0.03,0.04,0.01,0.01,0.06,0.03,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",Never witnessed sexual harassment,0.75,,0.76,0.81,0.76,0.73,0.79,0.69,0.76,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,A lot,0.42,,0.41,0.39,0.42,0.4,0.37,0.48,0.41,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,Some,0.24,,0.24,0.27,0.26,0.19,0.23,0.24,0.24,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,Only a little,0.11,,0.11,0.18,0.1,0.13,0.11,0.1,0.11,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,Nothing at all,0.24,,0.23,0.16,0.22,0.28,0.29,0.18,0.25,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,No answer,0,,0,0,0,0,0,0,0,
"AMONG EMPLOYED WHO'VE HEARD OF METOO: As a man, would you say you think about your behavior at work differently in the wake of #MeToo?",Yes,0.34,,0.32,0.23,0.33,0.37,0.27,0.42,0.33,
"AMONG EMPLOYED WHO'VE HEARD OF METOO: As a man, would you say you think about your behavior at work differently in the wake of #MeToo?",No,0.65,,0.67,0.77,0.66,0.62,0.71,0.57,0.66,
"AMONG EMPLOYED WHO'VE HEARD OF METOO: As a man, would you say you think about your behavior at work differently in the wake of #MeToo?",No answer,0.01,,0.01,0,0.01,0.01,0.01,0.01,0.01,
Do you typically feel as though you're expected to make the first move in romantic relationships?,Yes,0.61,0.62,0.63,0.54,0.63,0.57,0.6,0.62,0.63,0.5
Do you typically feel as though you're expected to make the first move in romantic relationships?,No,0.38,0.38,0.35,0.44,0.36,0.42,0.38,0.37,0.36,0.49
Do you typically feel as though you're expected to make the first move in romantic relationships?,No answer,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01
How often do you try to be the one who pays when on a date?,Always,0.49,0.36,0.55,0.53,0.52,0.43,0.58,0.39,0.54,0.16
How often do you try to be the one who pays when on a date?,Often,0.25,0.22,0.26,0.27,0.25,0.25,0.23,0.28,0.26,0.28
How often do you try to be the one who pays when on a date?,Sometimes,0.16,0.24,0.13,0.1,0.13,0.22,0.12,0.2,0.12,0.43
How often do you try to be the one who pays when on a date?,Rarely,0.02,0.03,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.05
How often do you try to be the one who pays when on a date?,Never,0.07,0.12,0.04,0.05,0.07,0.07,0.05,0.09,0.06,0.06
How often do you try to be the one who pays when on a date?,No answer,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,It's the right thing to do,0.66,,0.68,0.69,0.66,0.65,0.7,0.6,0.67,
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,"You asked the person out, so you feel obligated to pay",0.49,,0.49,0.52,0.49,0.49,0.47,0.51,0.48,
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,You feel good about being the one who pays,0.39,,0.39,0.34,0.36,0.46,0.39,0.4,0.39,
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,"Societal expectations, even though you don?t always think you should have to pay",0.27,,0.26,0.22,0.27,0.27,0.23,0.33,0.27,
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,You make more money than your date,0.11,,0.09,0.14,0.11,0.12,0.1,0.13,0.11,
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,You try to pay to see if the other person will offer to share in the cost,0.07,,0.07,0.07,0.04,0.13,0.04,0.1,0.06,
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,Other (please specify),0.07,,0.08,0.08,0.09,0.03,0.08,0.07,0.07,
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",Every situation is different,0.59,0.54,0.64,0.55,0.61,0.57,0.61,0.58,0.6,0.63
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",Read their physical body language to see if they are interested,0.46,0.46,0.48,0.38,0.46,0.45,0.46,0.45,0.46,0.51
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",It isn?t always clear how to gauge someone?s interest,0.35,0.37,0.35,0.32,0.36,0.32,0.32,0.39,0.34,0.4
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",Ask for a verbal confirmation of consent,0.31,0.43,0.3,0.15,0.29,0.36,0.26,0.37,0.31,0.31
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",Make a physical move to see how they react,0.29,0.34,0.27,0.29,0.27,0.34,0.29,0.3,0.31,0.27
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",Other (please specify),0.07,0.06,0.07,0.11,0.08,0.05,0.08,0.07,0.08,0.08
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)",Wondered whether you pushed a partner too far in a past sexual encounter.,0.1,0.15,0.09,0.05,0.08,0.13,0.08,0.12,0.09,0.17
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)",Talked with a friend or friends about whether you pushed a partner too far.,0.05,0.09,0.03,0.02,0.02,0.09,0.05,0.04,0.04,0.04
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)",Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.,0.03,0.07,0.02,0,0.01,0.07,0.03,0.03,0.03,0.07
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)",None of the above,0.85,0.76,0.87,0.91,0.89,0.77,0.86,0.83,0.87,0.79
Have you changed your behavior in romantic relationships in the wake of #MeToo movement?,Yes,0.13,0.23,0.09,0.07,0.09,0.2,0.09,0.16,0.12,0.18
Have you changed your behavior in romantic relationships in the wake of #MeToo movement?,No,0.86,0.77,0.9,0.91,0.9,0.79,0.89,0.83,0.87,0.82
Have you changed your behavior in romantic relationships in the wake of #MeToo movement?,No answer,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0
"Are you now married, widowed, divorced, separated, or have you never been married?",Married,0.46,0.15,0.55,0.67,0.5,0.37,0.66,0.22,0.51,0.16
"Are you now married, widowed, divorced, separated, or have you never been married?",Widowed,0.03,0,0.02,0.13,0.04,0.02,0.04,0.02,0.03,0.04
"Are you now married, widowed, divorced, separated, or have you never been married?",Divorced,0.13,0.07,0.17,0.09,0.13,0.13,0.19,0.06,0.13,0.08
"Are you now married, widowed, divorced, separated, or have you never been married?",Separated,0.02,0,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0
"Are you now married, widowed, divorced, separated, or have you never been married?",Never married,0.36,0.77,0.23,0.09,0.31,0.46,0.07,0.69,0.3,0.72
"Are you now married, widowed, divorced, separated, or have you never been married?",No answer,0,0,0,0,0,0,0,0,0,0
Do you have any children? (Select all that apply.),"Yes, one or more children under 18",0.21,0.21,0.28,0.05,0.17,0.31,0.4,0,0.24,0.08
Do you have any children? (Select all that apply.),"Yes, one or more children 18 or older",0.37,0.06,0.42,0.7,0.41,0.28,0.69,0,0.41,0.07
Do you have any children? (Select all that apply.),No children,0.46,0.74,0.38,0.27,0.46,0.47,0,1,0.4,0.86
Would you describe your sexual orientation as:,Straight,0.84,0.73,0.88,0.93,0.85,0.82,0.95,0.72,1,0
Would you describe your sexual orientation as:,Gay,0.08,0.12,0.07,0.03,0.07,0.09,0.02,0.15,0,0.72
Would you describe your sexual orientation as:,Bisexual,0.03,0.06,0.02,0.01,0.03,0.03,0.01,0.05,0,0.28
Would you describe your sexual orientation as:,Other,0.03,0.05,0.03,0.01,0.03,0.03,0.01,0.06,0,0
Would you describe your sexual orientation as:,No answer,0.02,0.04,0.01,0.01,0.01,0.02,0.01,0.02,0,0
Are you:,White,0.67,0.52,0.67,0.89,1,0,0.68,0.66,0.68,0.62
Are you:,Black,0.11,0.19,0.09,0.02,0,0.33,0.1,0.11,0.11,0.1
Are you:,Hispanic,0.14,0.16,0.17,0.05,0,0.43,0.14,0.15,0.14,0.18
Are you:,Asian,0.03,0.06,0.02,0,0,0.09,0.02,0.04,0.02,0.04
Are you:,Other,0.05,0.07,0.05,0.03,0,0.16,0.06,0.04,0.05,0.06
What is the last grade of school you completed?,Did not complete high school,0.04,0.03,0.04,0.05,0.04,0.05,0.06,0.02,0.04,0
What is the last grade of school you completed?,High school or G.E.D.,0.36,0.46,0.35,0.23,0.35,0.39,0.32,0.4,0.36,0.27
What is the last grade of school you completed?,Associate's degree,0.09,0.05,0.12,0.09,0.1,0.09,0.11,0.08,0.1,0.05
What is the last grade of school you completed?,Some college,0.21,0.21,0.21,0.22,0.21,0.23,0.21,0.22,0.2,0.31
What is the last grade of school you completed?,College graduate,0.27,0.25,0.25,0.35,0.29,0.23,0.27,0.27,0.27,0.35
What is the last grade of school you completed?,Post graduate degree,0.02,0.01,0.02,0.06,0.03,0.02,0.03,0.01,0.02,0.02
age,18 - 34,0.29,1,0,0,0.23,0.42,0.14,0.47,0.25,0.5
age,35 - 64,0.52,0,1,0,0.52,0.52,0.6,0.42,0.54,0.43
age,65 and up,0.19,0,0,1,0.25,0.06,0.26,0.11,0.21,0.07
